Feature,Value
words per sent,23.8
LIX,48.16974789915966
# words,238
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6861313868613139
adjectives,2.1
nouns,3.4
verbs,3.2
pronouns,4.8
particles,7.9
punctuation marks,2.4
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.8
full verbs,2.3
split verbs,0.1
nominative,0.9
accusative,1.3
dative,1.1
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,1.0
dative obj,0.5
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,1.5
gen+prep obj,0.0
present forms,2.1
past forms,0.1
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.1
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.4
subjunctions,0.4
relative clauses,0.2
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.7
question words,0.5
question marks,0.2
subj/pred inversions,0.8
placeholder 'es',0.0
'brauchen' constr,0.1
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.1
causal,80.7
concessive,8.0
conditional,158.1
consecutive,5.3
final,15.1
interrogative,4.3
modal,38.0
other,204.6
temporal,156.7
A1 features,6
A1 features summed,2.0
A2 features,7
A2 features summed,244.9
B1 features,5
B1 features summed,174.49999999999997
level features (all),33
level features (all) summed,39.600000000000016
