1	Euch	ihr	P	PPER	2|Pl|_|_	2	obja	731	731
2	retten	retten	V	VVINF	_	3	aux	_	_
3	mußt	müssen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	0	root	726	726
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	0	root	_	_
8	sollt	sollen	V	VMFIN	2|Pl|Pres|Ind	7	cj	_	_
9	'	'	$	$(	_	0	root	_	_
10	es	es	P	PPER	3|Sg|Neut|_	13	obja	_	_
11	Cardillacs	Cardillacs	N	NE	_|Gen|_	12	gmod	310	310
12	Leben	Leben	N	NN	Neut|_|_	13	obja	_	_
13	kosten	kosten	V	VVINF	_	8	aux	_	_
14	.	.	$	$.	_	0	root	_	_

1	Sowie	sowie	K	KON	_	0	root	_	_
2	Cardillac	Cardillac	N	NN	_|Nom|_	9	subj	262	262
3	nach	nach	P	APPR	Dat	9	pp	_	_
4	dem	die	A	ART	Def|Neut|Dat|Sg	5	det	_	_
5	Abendgebet	Abendgebet	N	NN	Neut|Dat|Sg	3	pn	_	_
6	sich	sie	P	PRF	3|_|_	9	obja	_	_
7	wie	wie	K	KOKOM	_	9	kom	_	_
8	gewöhnlich	gewöhnlich	A	ADJD	Pos|	7	cj	_	_
9	eingeschlossen	eingeschlossen	V	VVPP	_	11	neb	_	_
10	,	,	$	$,	_	0	root	_	_
11	stieg	steigen	V	VVFIN	1|Sg|Past|Ind	1	cj	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	726	726
13	durch	durch	P	APPR	Acc	11	pp	_	_
14	ein	eine	A	ART	Indef|Neut|Acc|Sg	15	det	_	_
15	Fenster	Fenster	N	NN	Neut|Acc|Sg	13	pn	_	_
16	in	in	P	APPR	Acc	11	objp	_	_
17	den	die	A	ART	Def|Masc|Acc|Sg	18	det	227	227
18	Hof	Hof	N	NN	Masc|Acc|Sg	16	pn	227	227
19	,	,	$	$,	_	0	root	_	_
20	schlüpfte	schlüpfen	V	VVFIN	_|Sg|Past|_	11	kon	_	_
21	durch	durch	P	APPR	Acc	20	pp	_	_
22	die	die	A	ART	Def|Fem|Acc|Sg	23	det	675	675
23	Öffnung	Öffnung	N	NN	Fem|Acc|Sg	21	pn	675	675
24	in	in	P	APPR	Dat	20	pp	_	_
25	der	die	A	ART	Def|Fem|Dat|Sg	26	det	171	171
26	Mauer	Mauer	N	NN	Fem|Dat|Sg	24	pn	171	171
27	und	und	K	KON	_	20	kon	_	_
28	stellte	stellen	V	VVFIN	_|Sg|Past|_	27	cj	_	_
29	mich	ich	P	PRF	1|Sg|Acc	28	obja	_	_
30	unfern	unfern	A	ADJD	Pos|	28	adv	_	_
31	in	in	P	APPR	_	28	objp	_	_
32	den	die	A	ART	Def|Masc|_|_	34	det	737	737
33	tiefen	tief	A	ADJA	Pos|Masc|_|_|_|	34	attr	737	737
34	Schatten	Schatten	N	NN	Masc|_|_	31	pn	737	737
35	.	.	$	$.	_	0	root	_	_

1	Nicht	nicht	P	PTKNEG	_	2	adv	_	_
2	lange	lange	A	ADJD	_	3	adv	_	_
3	dauerte	dauern	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	,	,	$	$,	_	0	root	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	kam	kommen	V	VVFIN	3|Sg|Past|Ind	3	kon	_	_
8	Cardillac	Cardillac	N	NE	_|Nom|Sg	7	subj	262	262
9	heraus	heraus	P	PTKVZ	_	7	avz	_	_
10	und	und	K	KON	_	7	kon	_	_
11	schlich	schleichen	V	VVFIN	_|Sg|Past|Ind	10	cj	_	_
12	leise	leise	A	ADJD	Pos|	11	adv	_	_
13	durch	durch	P	APPR	Acc	11	pp	_	_
14	die	die	A	ART	Def|_|Acc|_	15	det	55	55
15	Straße	Straß	N	NN	_|Acc|_	13	pn	55	55
16	fort	fort	P	PTKVZ	_	11	avz	_	_
17	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	0	root	726	726
2	hinter	hinter	P	APPR	Dat	1	pp	_	_
3	ihm	er	P	PPER	3|Sg|_|Dat	2	pn	262	262
4	her	her	P	PTKVZ	_	0	root	_	_
5	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	262	262
2	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	nach	nach	P	APPR	Dat	2	pp	_	_
4	der	die	A	ART	Def|Fem|Dat|Sg	5	det	738	738
5	Straße	Straß	N	NN	Fem|Dat|Sg	3	pn	738	738
6	St.	St.	N	NE	Fem|Dat|Sg	5	app	738	738
7	Honoré	Honoré	N	NE	Fem|Dat|Sg	6	app	738	738
8	,	,	$	$,	_	0	root	_	_
9	mir	ich	P	PPER	1|Sg|_|Dat	10	objd	726	726
10	bebte	beben	V	VVFIN	3|Sg|Past|_	2	kon	_	_
11	das	die	A	ART	Def|Neut|Nom|Sg	12	det	616	616
12	Herz	Herz	N	NN	Neut|Nom|Sg	10	subj	616	616
13	.	.	$	$.	_	0	root	_	_

1	Cardillac	Cardillac	N	NE	_|Nom|Sg	2	subj	262	262
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	mit	mit	P	APPR	Dat	6	pp	_	_
4	einemmal	einemmal	N	NE	_|Dat|_	3	pn	739	739
5	mir	ich	P	PPER	1|Sg|_|Dat	6	objd	726	726
6	entschwunden	entschwinden	V	VVPP	_	2	aux	_	_
7	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	726	726
2	beschloß	beschloß	V	VVFIN	1|Sg|_|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	mich	ich	P	PPER	1|Sg|_|Acc	9	obja	740	740
5	an	an	P	APPR	Acc	9	objp	_	_
6	Eure	eure	A	PPOSAT	Fem|Acc|Sg	7	det	739	739
7	Haustüre	Haustüre	N	NN	Fem|Acc|Sg	5	pn	_	_
8	zu	zu	P	PTKZU	_	9	part	_	_
