1	Disses	Disses	N	NE	_|Nom|Sg	2	subj	267	267
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	eine	eine	A	ART	Indef|Fem|Nom|Sg	5	det	610	610
4	glohreiche	glohreiche	A	ADJA	_	5	attr	610	610
5	Kunzt	Kunzt	N	NN	Fem|Nom|Sg	2	pred	610	610
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	0	root	_	_
8	ser	ser	F	FM	_	7	cj	_	_
9	schwehr	schwehr	F	FM	_	8	app	_	_
10	.	.	$	$.	_	0	root	_	_

1	Zu	zu	P	APPR	Dat	7	pp	_	_
2	der	die	A	ART	Def|Fem|Dat|Sg	3	det	_	_
3	weldlichen	weldlichen	F	FM	Fem|Dat|Sg	1	pn	_	_
4	Obrikeid	Obrikeid	F	FM	Fem|Dat|Sg	3	app	_	_
5	had	had	F	FM	Fem|Dat|Sg	4	app	_	_
6	kein	keine	A	PIAT	_|_|Sg	7	det	_	_
7	Mentsch	Mentsch	N	NN	_|_|Sg	0	root	_	_
8	kein	keine	A	PIAT	_|_|Sg	9	det	538	538
9	Ferdrauen	Ferdrauen	N	NN	_|_|Sg	0	root	538	538
10	,	,	$	$,	_	0	root	_	_
11	indem	indem	K	KOUS	_	0	root	_	_
12	sie	sie	P	PPER	3|_|_|_	0	root	538	538
13	ins	in	P	APPRART	Acc	12	pp	_	_
14	einschbert	einschbert	N	NN	_|Acc|_	13	pn	539	539
15	oder	oder	K	KON	_	14	kon	539	539
16	inser	inser	F	FM	_|Acc|_	15	cj	539	539
17	Gehld	Gehld	F	FM	_|Acc|_	16	app	539	539
18	niemt	niemt	F	FM	_|Acc|_	17	app	539	539
19	,	,	$	$,	_	0	root	_	_
20	bald	bald	A	ADV	_	24	adv	_	_
21	man	man	P	PIS	_|Nom|Sg	24	subj	_	_
22	so	so	A	ADV	_	23	adv	_	_
23	thum	thum	A	ADJD	_	24	pred	_	_
24	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
25	und	und	K	KON	_	0	root	_	_
26	ier	ier	F	FM	_	25	cj	_	_
27	fertraud	fertraud	F	FM	_	26	app	_	_
28	,	,	$	$,	_	0	root	_	_
29	das	die	A	ART	Def|Neut|_|Sg	30	det	_	_
30	mahn	mahn	F	FM	Neut|_|Sg	0	root	_	_
31	fieleichd	fieleichd	F	FM	Neut|_|Sg	30	app	_	_
32	was	was	P	PRELS	Neut|_|Sg	0	root	539	539
33	begangen	begangen	A	ADJD	Pos|	34	adv	_	_
34	had	had	V	VVPP	_	0	root	_	_
35	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	die	die	A	ART	Def|_|_|_	3	det	_	_
3	geischliche	geischliche	F	FM	_|_|_	1	cj	_	_
4	Obrikeit	Obrikeit	F	FM	_|_|_	3	app	_	_
5	ferzeit	ferzeit	F	FM	_|_|_	4	app	_	_
6	ins	in	P	APPRART	Neut|Acc	0	root	_	_
7	und	und	K	KON	_	0	root	_	_
8	giebt	giebt	T	TRUNC	_	0	root	_	_
9	ins	in	P	APPRART	Acc	12	pp	_	_
10	plos	plos	N	NN	_|Acc|_	9	pn	280	280
11	einen	eine	A	ART	Indef|Masc|Acc|Sg	12	det	_	_
12	Rohsengranz	Rohsengranz	N	NN	Masc|Acc|Sg	0	root	_	_
13	zum	zu	P	APPRART	Dat	12	pp	_	_
14	betten	betten	N	NN	_|Dat|_	13	pn	540	540
15	auf	auf	P	PTKVZ	_	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	was	was	P	PRELS	Neut|_|Sg	0	root	540	540
18	aber	aber	A	ADV	_	19	adv	_	_
19	nichd	nichd	A	ADJD	_	20	adv	_	_
20	so	so	A	ADV	_	21	adv	_	_
21	schmärzt	schmärzt	A	ADJD	_	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	indem	indem	K	KOUS	_	26	konj	_	_
24	es	es	P	PPER	3|Sg|Neut|Nom	26	subj	_	_
25	nichz	nichz	A	ADJD	_	26	adv	_	_
26	kost	kosen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
27	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	bald	bald	A	ADV	_	1	cj	_	_
3	der	die	A	ART	Def|_|_|_	4	det	_	_
4	Mentsch	Mentsch	F	FM	_|_|_	0	root	_	_
5	schterben	schterben	F	FM	_|_|_	4	app	_	_
6	muhs	muhs	F	FM	_|_|_	5	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	last	lesen	V	VVFIN	2|_|Past|Ind	0	root	_	_
