1	Sie	sie	P	PPER	_|_|_	0	root	194	194
2	is	is	F	FM	_	1	app	_	_
3	vo	vo	F	FM	_	2	app	_	_
4	Arnbach	Arnbach	F	FM	_	3	app	_	_
5	g	g	F	FM	_	4	app	_	_
6	'	'	$	$(	_	0	root	_	_
7	wen	wer	P	PWS	_|Acc|Sg	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	gel	gel	A	ADJD	Pos|	0	root	_	_
10	?	?	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	von	von	P	APPR	_	8	pp	27	27
5	Gruaba	Gruaba	N	NE	_|_|_	4	pn	27	27
6	z	z	F	FM	_|_|_	5	app	27	27
7	'	'	$	$(	_	0	root	27	27
8	Arnbach	Arnbach	N	NE	_|_|Sg	0	root	27	27
9	is	is	F	FM	_|_|Sg	8	app	27	27
10	sie	sie	F	FM	_|_|Sg	9	app	27	27
11	g	g	F	FM	_|_|Sg	10	app	27	27
12	'	'	$	$(	_	0	root	_	_
13	wen	wer	P	PWS	_|Acc|Sg	0	root	_	_
14	.	.	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Aha	aha	I	ITJ	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	gel	gel	A	ADJD	Pos|	5	adv	_	_
5	ja	ja	A	ADV	_	0	root	_	_
6	?	?	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
2	hot	hot	N	NE	_	0	root	206	206
3	ihr	ihre	A	PPOSAT	_|Nom|Sg	5	det	3	3
4	nacha	nacha	A	ADJA	_	5	attr	236	236
5	g	g	N	NN	_|Nom|Sg	7	subj	236	236
6	'	'	$	$(	_	0	root	_	_
7	feit	feien	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	daß	daß	K	KOUS	_	14	konj	_	_
10	sie	sie	P	PPER	3|Sg|Fem|Nom	14	subj	236	236
11	schter	schter	A	ADJA	_	13	attr	_	_
12	'	'	$	$(	_	0	root	_	_
13	m	m	N	NN	_	14	obja	_	_
14	hat	haben	V	VAFIN	3|Sg|Pres|Ind	7	objc	_	_
15	müass	müass	F	FM	_	0	root	_	_
16	'	'	$	$(	_	0	root	_	_
17	n	n	N	NN	_	15	app	_	_
18	?	?	$	$.	_	0	root	_	_
19	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	A	A	N	NN	_|_|_	0	root	_	_
3	da	da	A	ADV	_	2	adv	_	_
4	Lungl	Lungl	N	NE	_|_|_	2	app	_	_
5	.	.	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	F	FM	_	0	root	_	_
2	Siehgst	Siehgst	F	FM	_	1	app	_	_
3	as	as	F	FM	_	2	app	_	_
