1	Vivat	Vivat	N	NE	_	0	root	1180	1180
2	die	die	A	ART	Def|Fem|_|Sg	3	det	427	427
3	Wissenschaft	Wissenschaft	N	NN	Fem|_|Sg	0	root	427	427
4	!	!	$	$.	_	0	root	_	_
5	...	...	$	$.	_	0	root	_	_

1	Gänsebraten	Gänsebraten	N	NN	_|_|_	0	root	_	_
2	heute	heute	A	ADV	_	1	adv	_	_
3	gottlob	gottlob	A	ADV	_	1	adv	_	_
4	vorherrschend	vorherrschen	A	ADJD	_|<PPRES	0	root	_	_
5	!	!	$	$.	_	0	root	_	_

1	Pfisters	Pfisters	N	NE	_|Gen|_	2	gmod	84	84
2	Mühle	Mühle	N	NN	Fem|_|Sg	0	root	_	_
3	mit	mit	P	APPR	Dat	2	pp	_	_
4	allen	alle	A	PIDAT	Masc|Dat|Pl	6	det	_	_
5	ihren	ihre	A	PPOSAT	Masc|Dat|Pl	6	det	84	84
6	Gerüchen	Geruch	N	NN	Masc|Dat|Pl	3	pn	_	_
7	in	in	P	APPR	_	6	pp	_	_
8	Ewigkeit	Ewigkeit	N	NN	Fem|_|Sg	7	pn	_	_
9	!	!	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	753	753
3	danke	danken	V	VVFIN	1|Sg|Pres|_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	Doktor	Doktor	N	NN	Masc|_|Sg	0	root	192	192
6	Adam	Adam	N	NE	Masc|_|Sg	5	app	192	192
7	«	«	$	$(	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
10	mein	meine	A	PPOSAT	Masc|Nom|Sg	11	det	753	753
11	Vater	Vater	N	NN	Masc|Nom|Sg	9	subj	754	754
12	auf	auf	P	APPR	Dat	9	pp	_	_
13	der	die	A	ART	Def|Fem|Dat|Sg	14	det	1106	1106
14	Schwelle	Schwelle	N	NN	Fem|Dat|Sg	12	pn	1106	1106
