1	Nachbar	Nachbar	N	NN	_|_|Sg	0	root	230	230
2	:	\:	$	$.	_	0	root	_	_
3	Katzen	Katze	N	NN	Fem|_|Pl	0	root	225	225
4	gehn	gehn	N	NE	Fem|_|Pl	3	app	225	225
5	aber	aber	A	ADV	_	7	adv	_	_
6	nicht	nicht	P	PTKNEG	_	7	adv	_	_
7	ins	in	P	APPRART	Acc	3	pp	_	_
8	Wasser	Wasser	N	NN	Neut|Acc|_	7	pn	672	672
9	.	.	$	$.	_	0	root	_	_

1	Wiesener	Wiesener	N	NE	_	0	root	4	4
2	:	\:	$	$.	_	0	root	_	_
3	Desto	Desto	A	ADV	_	4	adv	_	_
4	größer	groß	A	ADJD	Comp|	5	pred	_	_
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	ja	ja	A	ADV	_	5	adv	_	_
7	des	die	A	ART	Def|Masc|Gen|Sg	8	det	23	23
8	Katers	Kater	N	NN	Masc|Gen|Sg	5	objg	23	23
9	Liebe	Liebe	N	NN	_|Nom|Sg	5	subj	570	570
10	für	für	P	APPR	Acc	5	pp	_	_
11	seinen	seine	A	PPOSAT	_|Acc|_	12	det	570	570
12	Herrn	Herrn	N	NN	_|Acc|_	10	pn	571	571
13	;	;	$	$.	_	0	root	_	_
14	merken	merken	V	VVFIN	3|Pl|Pres|_	0	root	_	_
15	Sie	sie	P	PPER	3|Pl|_|Nom	14	subj	571	571
16	,	,	$	$,	_	0	root	_	_
17	das	die	P	PDS	Neut|Nom|Sg	18	subj	_	_
18	will	wollen	V	VMFIN	3|Sg|Pres|Ind	14	kon	_	_
19	uns	wir	P	PPER	1|Pl|_|_	27	obja	_	_
20	ja	ja	A	ADV	_	27	adv	_	_
21	der	die	A	ART	Def|Fem|Dat|Sg	22	det	_	_
22	Dichter	Dichter	N	NN	Fem|Dat|Sg	27	objd	_	_
23	eben	eben	A	ADV	_	27	adv	_	_
24	dadurch	dadurch	P	PROAV	_	27	pp	_	_
25	zu	zu	P	PTKZU	_	26	part	_	_
26	verstehn	verstehn	V	VVINF	_	27	obji	_	_
27	geben	geben	V	VVINF	_	18	aux	_	_
28	.	.	$	$.	_	0	root	_	_

1	Hinze	Hinze	N	NE	_	0	root	84	84
2	:	\:	$	$.	_	0	root	_	_
3	Was	was	P	PWS	Neut|Nom|Sg	10	pred	_	_
4	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
5	du	du	P	PPER	2|Sg|_|Nom	4	subj	_	_
6	denn	denn	A	ADV	_	10	adv	_	_
7	wohl	wohl	A	ADV	_	10	adv	_	_
8	Lust	Lust	N	NN	Fem|Nom|Sg	10	pred	271	271
9	zu	zu	P	PTKZU	_	10	part	_	_
10	werden	werden	V	VAINF	_	4	aux	_	_
11	in	in	P	APPR	Dat	10	pp	_	_
12	der	die	A	ART	Def|Fem|Dat|Sg	13	det	172	172
13	Welt	Welt	N	NN	Fem|Dat|Sg	11	pn	172	172
14	?	?	$	$.	_	0	root	_	_

1	Gottlieb	gottlieb	A	ADJD	Pos|	0	root	_	_
2	:	\:	$	$.	_	0	root	_	_
3	Das	die	P	PDS	Neut|Nom|Sg	4	subj	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	schwer	schwer	A	ADJD	Pos|	7	adv	_	_
6	zu	zu	P	PTKZU	_	7	part	_	_
7	sagen	sagen	V	VVINF	_	4	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	Hinze	Hinze	N	NE	_	0	root	84	84
2	:	\:	$	$.	_	0	root	_	_
3	Möchtest	mögen	V	VMFIN	2|Sg|Past|Subj	0	root	_	_
4	du	du	P	PPER	2|Sg|_|Nom	3	subj	_	_
5	wohl	wohl	A	ADV	_	9	adv	_	_
6	Prinz	Prinz	N	NN	Masc|Nom|Sg	9	pred	_	_
7	oder	oder	K	KON	_	6	kon	_	_
8	König	König	N	NN	Masc|Nom|Sg	7	cj	148	148
9	werden	werden	V	VAINF	_	3	aux	_	_
10	?	?	$	$.	_	0	root	_	_

1	Gottlieb	gottlieb	A	ADJD	Pos|	0	root	_	_
2	:	\:	$	$.	_	0	root	_	_
3	Das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
4	noch	noch	A	ADV	_	5	adv	_	_
5	am	an	P	APPRART	Dat	0	root	_	_
6	ersten	erst	A	ADJA	_|_|Dat|_|_|	5	pn	_	_
7	.	.	$	$.	_	0	root	_	_

1	Hinze	Hinze	N	NE	_	0	root	84	84
2	:	\:	$	$.	_	0	root	_	_
3	Fühlst	fühlen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
4	du	du	P	PPER	2|Sg|_|Nom	3	subj	_	_
5	auch	auch	A	ADV	_	3	adv	_	_
6	die	die	A	ART	Def|Fem|_|Sg	7	det	572	572
7	Kraft	Kraft	N	NN	Fem|_|Sg	3	obja	572	572
8	in	in	P	APPR	Dat	3	pp	_	_
9	dir	du	P	PPER	2|Sg|_|Dat	8	pn	_	_
10	,	,	$	$,	_	0	root	_	_
11	ein	eine	A	ART	Indef|Neut|_|Sg	12	det	_	_
12	Volk	Volk	N	NN	Neut|_|Sg	15	obja	_	_
13	glücklich	glücklich	A	ADJD	Pos|	15	pred	_	_
14	zu	zu	P	PTKZU	_	15	part	_	_
15	machen	machen	V	VVINF	_	3	obji	_	_
16	?	?	$	$.	_	0	root	_	_

1	Gottlieb	gottlieb	A	ADJD	Pos|	0	root	_	_
2	:	\:	$	$.	_	0	root	_	_
3	Warum	Warum	P	PWAV	_	0	root	_	_
4	nicht	nicht	P	PTKNEG	_	3	adv	_	_
5	?	?	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	6	konj	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	573	573
3	nur	nur	A	ADV	_	6	adv	_	_
4	erst	erst	A	ADV	_	6	adv	_	_
5	glücklich	glücklich	A	ADJD	Pos|	6	pred	_	_
6	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
7	.	.	$	$.	_	0	root	_	_

1	Hinze	Hinze	N	NE	_	0	root	84	84
2	:	\:	$	$.	_	0	root	_	_
3	Nun	nun	A	ADV	_	4	adv	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	sei	sein	V	VAFIN	_|Sg|Pres|Subj	0	root	_	_
6	zufrieden	zufrieden	A	ADJD	Pos|	5	pred	_	_
7	;	;	$	$.	_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	573	573
9	schwöre	schwören	V	VVFIN	1|Sg|_|_	0	root	_	_
10	dir	du	P	PRF	2|Sg|Dat	9	objd	_	_
11	,	,	$	$,	_	0	root	_	_
12	du	du	P	PPER	2|Sg|_|Nom	13	subj	_	_
13	sollst	sollen	V	VMFIN	2|Sg|Pres|Ind	9	kon	_	_
14	den	die	A	ART	Def|Masc|Acc|Sg	15	det	328	328
15	Thron	Thron	N	NN	Masc|Acc|Sg	16	obja	328	328
16	besteigen	besteigen	V	VVINF	_	13	aux	_	_
17	.	.	$	$.	_	0	root	_	_

1	Geht	gehen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
2	ab	ab	P	PTKVZ	_	1	avz	_	_
3	.	.	$	$.	_	0	root	_	_

1	Gottlieb	gottlieb	A	ADJD	Pos|	0	root	_	_
2	:	\:	$	$.	_	0	root	_	_
3	Wunderlich	Wunderlich	N	NE	_|_|Sg	6	obja	574	574
4	müßt	müssen	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|_	6	expl	_	_
6	zugehn	zugehn	V	VVINF	_	4	aux	_	_
7	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Doch	doch	K	KON	_	0	root	_	_
3	kömmt	kömmt	N	NE	_	0	root	88	88
4	ja	ja	A	ADV	_	3	adv	88	88
5	in	in	P	APPR	Dat	3	pp	88	88
6	der	die	A	ART	Def|Fem|Dat|Sg	7	det	172	172
7	Welt	Welt	N	NN	Fem|Dat|Sg	5	pn	172	172
8	so	so	A	ADV	_	5	adv	_	_
9	manches	manche	P	PIS	_|_|Sg	0	root	_	_
10	unerwartet	unerwartet	A	ADJD	Pos|	0	root	_	_
11	.	.	$	$.	_	0	root	_	_

1	Geht	gehen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
2	ab	ab	P	PTKVZ	_	1	avz	_	_
3	.	.	$	$.	_	0	root	_	_

1	Bötticher	Bötticher	N	NE	_	0	root	36	36
2	:	\:	$	$.	_	0	root	_	_
3	Bemerken	bemerken	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	576	576
5	doch	doch	A	ADV	_	3	adv	_	_
6	die	die	A	ART	Def|Fem|_|Sg	8	det	575	575
7	unendliche	unendlich	A	ADJA	Pos|Fem|_|Sg|_|	8	attr	575	575
8	Feinheit	Feinheit	N	NN	Fem|_|Sg	3	obja	575	575
9	,	,	$	$,	_	0	root	575	575
10	mit	mit	P	APPR	Dat	16	pp	575	575
11	der	die	P	PRELS	Fem|Dat|Sg	10	pn	575	575
12	der	die	A	ART	Def|Masc|Nom|Sg	13	det	23	23
13	Kater	Kater	N	NN	Masc|Nom|Sg	16	subj	23	23
14	seinen	seine	A	PPOSAT	Masc|_|Sg	15	det	23	23
15	Stock	Stock	N	NN	Masc|_|Sg	16	obja	_	_
16	hält	halten	V	VVFIN	3|Sg|Pres|Ind	8	rel	_	_
17	,	,	$	$,	_	0	root	_	_
18	so	so	A	ADV	_	19	adv	_	_
19	zart	zart	A	ADJD	Pos|	3	adv	_	_
20	,	,	$	$,	_	0	root	_	_
21	so	so	A	ADV	_	22	adv	_	_
22	leutselig	leutselig	A	ADJD	Pos|	19	kon	_	_
23	.	.	$	$.	_	0	root	_	_

1	Fischer	Fischer	N	NE	_	0	root	2	2
2	:	\:	$	$.	_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	576	576
4	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
5	uns	wir	P	PPER	1|Pl|_|Dat	4	objd	_	_
6	mit	mit	P	APPR	Dat	4	pp	_	_
7	Ihren	ihre	A	PPOSAT	Fem|Dat|Pl	8	det	576	576
8	Feinheiten	Feinheit	N	NN	Fem|Dat|Pl	6	pn	_	_
9	schon	schon	A	ADV	_	4	adv	_	_
10	längst	längst	A	ADV	_	4	adv	_	_
11	zur	zu	P	APPRART	Dat	4	pp	_	_
12	Last	Last	N	NN	Fem|Dat|Sg	11	pn	584	584
13	,	,	$	$,	_	0	root	_	_
14	Sie	sie	P	PPER	3|Pl|_|Nom	15	subj	576	576
15	sind	sein	V	VAFIN	3|Pl|Pres|Ind	4	kon	_	_
16	noch	noch	A	ADV	_	15	adv	_	_
17	langweiliger	langweilig	A	ADJD	Comp|	15	pred	_	_
18	als	als	K	KOKOM	_	15	kom	_	_
19	das	die	A	ART	Def|Neut|_|Sg	20	det	9	9
20	Stück	Stück	N	NN	Neut|_|Sg	18	cj	9	9
21	.	.	$	$.	_	0	root	_	_

1	Müller	Müller	N	NE	_	0	root	3	3
2	:	\:	$	$.	_	0	root	_	_
3	Ja	ja	P	PTKANT	_	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|_	16	expl	_	_
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	recht	recht	A	ADJD	Pos|	7	adv	_	_
7	verdrüßlich	verdrüßlich	A	ADJD	Pos|	5	pred	_	_
8	,	,	$	$,	_	0	root	_	_
9	immer	immer	A	ADV	_	14	adv	_	_
