Feature,Value
words per sent,16.0
LIX,43.5
# words,80
# sents,5
discourse entities,0.2
avg entity frequency,2.0
vocabulary density,0.7818181818181819
adjectives,0.6
nouns,5.4
verbs,1.8
pronouns,2.4
particles,3.4
punctuation marks,1.8
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.2
full verbs,1.4
split verbs,0.2
nominative,1.2
accusative,0.8
dative,1.8
genitive,0.6
gen modifiers,0.6
prep with gen,0.0
all genitives,0.6
accusative obj,0.2
dative obj,0.4
genitive obj,0.0
prepositional obj,0.4
acc+dat obj,0.6
gen+prep obj,0.4
present forms,0.2
past forms,0.6
perfect forms,0.2
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.2
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.2
irrealis mode,0.0
all subj forms,0.2
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.0
subjunctions,0.0
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.0
question marks,0.0
subj/pred inversions,0.6
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,0.8
concessive,0.0
conditional,0.8
consecutive,0.6
final,0.0
interrogative,0.0
modal,0.0
other,4.0
temporal,1.0
A1 features,3
A1 features summed,0.6000000000000001
A2 features,7
A2 features summed,4.2
B1 features,2
B1 features summed,1.6
level features (all),29
level features (all) summed,27.4
