Feature,Value
words per sent,26.0
LIX,45.61538461538461
# words,1300
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5147625160462131
adjectives,3.4
nouns,3.28
verbs,3.44
pronouns,5.86
particles,5.78
punctuation marks,4.2
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.14
aux verbs,0.4
full verbs,2.84
split verbs,0.34
nominative,1.04
accusative,1.34
dative,1.3
genitive,0.12
gen modifiers,0.12
prep with gen,0.0
all genitives,0.12
accusative obj,1.0
dative obj,0.36
genitive obj,0.0
prepositional obj,0.22
acc+dat obj,1.36
gen+prep obj,0.22
present forms,0.32
past forms,1.94
perfect forms,0.02
pqp forms,0.1
perfect+pqp forms,0.26
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.12
all futur forms,0.0
subj 1 forms,0.02
subj 2 forms,0.06
subj 2 aux forms,0.02
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.04
superlative,0.0
comp+superlative,0.04
conjunctions,0.18
subjunctions,0.08
relative clauses,0.18
participial clauses pres,0.04
participial clauses past,0.08
all participial clauses,0.12
negations,0.12
question words,0.28
question marks,0.1
subj/pred inversions,1.08
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,34.52
concessive,3.18
conditional,55.18
consecutive,0.02
final,4.94
interrogative,1.94
modal,17.0
other,87.1
temporal,66.52
A1 features,7
A1 features summed,1.1800000000000002
A2 features,9
A2 features summed,92.42
B1 features,5
B1 features summed,71.84
level features (all),44
level features (all) summed,42.19999999999999
