Feature,Value
words per sent,31.1
LIX,58.10964630225081
# words,311
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7388888888888889
adjectives,2.6
nouns,4.9
verbs,4.2
pronouns,7.1
particles,8.0
punctuation marks,4.2
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.4
full verbs,3.4
split verbs,0.0
nominative,0.9
accusative,1.5
dative,1.8
genitive,0.5
gen modifiers,0.5
prep with gen,0.0
all genitives,0.5
accusative obj,1.3
dative obj,0.3
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.6
gen+prep obj,0.2
present forms,0.7
past forms,1.5
perfect forms,0.0
pqp forms,0.2
perfect+pqp forms,0.3
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.2
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.2
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.2
comp+superlative,0.3
conjunctions,0.4
subjunctions,0.0
relative clauses,0.3
participial clauses pres,0.1
participial clauses past,0.2
all participial clauses,0.3
negations,0.1
question words,0.1
question marks,0.0
subj/pred inversions,0.4
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,143.0
concessive,17.1
conditional,276.8
consecutive,7.5
final,19.3
interrogative,7.5
modal,63.6
other,320.6
temporal,266.2
A1 features,4
A1 features summed,0.8
A2 features,8
A2 features summed,429.9
B1 features,5
B1 features summed,298.6
level features (all),38
level features (all) summed,50.1
