1	Sie	sie	P	PPER	3|_|_|Nom	2	subj	31	31
2	wußte	wußte	V	VVFIN	3|_|_|_	0	root	_	_
3	auch	auch	A	ADV	_	2	adv	_	_
4	das	die	A	ART	Def|Neut|_|Sg	5	det	95	95
5	Sprüchlein	Sprüchlein	N	NN	Neut|_|Sg	2	obja	95	95
6	noch	noch	A	ADV	_	2	adv	_	_
7	und	und	K	KON	_	2	kon	_	_
8	hat	haben	V	VAFIN	3|Sg|Pres|Ind	7	cj	_	_
9	es	es	P	PPER	3|Sg|Neut|_	12	obja	_	_
10	mir	ich	P	PPER	1|Sg|_|Dat	12	objd	32	32
11	öfters	öfters	A	ADV	_	12	adv	_	_
12	vorgesagt	vorsagen	V	VVPP	_	8	aux	_	_
13	,	,	$	$,	_	0	root	_	_
14	aber	aber	K	KON	_	8	kon	_	_
15	ich	ich	P	PPER	1|Sg|_|Nom	16	subj	32	32
16	habe	haben	V	VAFIN	1|Sg|Pres|_	14	cj	_	_
17	es	es	P	PPER	3|Sg|Neut|_	20	obja	_	_
18	seither	seither	A	ADV	_	20	adv	_	_
19	längst	längst	A	ADV	_	20	adv	_	_
20	vergessen	veressen	V	VVPP	_	16	aux	_	_
21	.	.	$	$.	_	0	root	_	_
22	«	«	$	$(	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	15	15
2	dicke	dick	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	15	15
3	Mann	Mann	N	NN	Masc|Nom|Sg	4	subj	15	15
4	lachte	lachen	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	14	konj	_	_
7	ihm	er	P	PPER	3|Sg|_|Dat	14	objd	15	15
8	die	die	A	ART	Def|Masc|Nom|Pl	10	det	34	34
9	silbernen	silbern	A	ADJA	Pos|Masc|Nom|Pl|Wk|	10	attr	34	34
10	Knöpfe	Knopf	N	NN	Masc|Nom|Pl	14	subj	34	34
11	auf	auf	P	APPR	Dat	14	pp	_	_
12	seinem	seine	A	PPOSAT	Masc|Dat|Sg	13	det	15	15
13	Bauche	Bauch	N	NN	Masc|Dat|Sg	11	pn	_	_
14	tanzten	tanzen	V	VVFIN	3|Pl|Past|_	4	objc	_	_
15	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nun	nun	A	ADV	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Mutter	Mutter	N	NN	Fem|_|Sg	0	root	14	14
5	Stine	Stine	N	NE	Fem|_|Sg	4	app	14	14
6	,	,	$	$,	_	0	root	_	_
7	so	so	A	ADV	_	8	adv	_	_
8	setzt	setzen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
9	Euch	ihr	P	PPER	2|Pl|_|_	8	obja	33	33
10	hin	hin	P	PTKVZ	_	8	avz	_	_
11	und	und	K	KON	_	8	kon	_	_
12	besinnt	besinnen	V	VVFIN	_|_|Pres|Ind	11	cj	_	_
13	Euch	ihr	P	PPER	2|Pl|_|_	12	obja	33	33
14	auf	auf	P	APPR	Acc	12	objp	_	_
15	Euer	eure	A	PPOSAT	Neut|Acc|Sg	16	det	34	34
16	Sprüchlein	Sprüchlein	N	NN	Neut|Acc|Sg	14	pn	_	_
17	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	32	32
2	verlasse	verlassen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	mich	ich	P	PRF	1|Sg|Acc	2	obja	_	_
4	auf	auf	P	APPR	Acc	2	objp	_	_
5	mein	meine	A	PPOSAT	Neut|Acc|Sg	6	det	32	32
6	Wetterglas	Wetterglas	N	NN	Neut|Acc|Sg	4	pn	35	35
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	2	kon	_	_
9	das	die	P	PDS	Neut|Nom|Sg	10	subj	_	_
10	steht	stehen	V	VVFIN	3|Sg|Pres|Ind	8	cj	_	_
11	seit	seit	P	APPR	Dat	10	pp	_	_
12	acht	acht	C	CARD	_	13	attr	_	_
13	Wochen	Woche	N	NN	Fem|Dat|Pl	11	pn	_	_
14	auf	auf	P	APPR	_	10	objp	_	_
15	beständig	beständig	A	ADJD	Pos|	14	pn	_	_
16	Schön	schön	A	ADJD	Pos|	10	adv	_	_
17	!	!	$	$.	_	0	root	_	_
18	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Das	die	A	ART	Def|Neut|Nom|Sg	3	det	35	35
3	Wetterglas	Wetterglas	N	NN	Neut|Nom|Sg	4	subj	35	35
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	ein	eine	A	ART	Indef|Neut|Nom|Sg	7	det	_	_
6	totes	totes	A	ADJA	_|Neut|Nom|Sg|_	7	attr	_	_
7	Ding	Ding	N	NN	Neut|Nom|Sg	4	pred	_	_
8	,	,	$	$,	_	0	root	_	_
9	Nachbar	Nachbar	N	NN	_|Nom|Sg	7	app	_	_
10	;	;	$	$.	_	0	root	_	_
11	das	die	P	PDS	Neut|Nom|Sg	12	subj	_	_
12	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
13	doch	doch	A	ADV	_	17	adv	_	_
14	nicht	nicht	P	PTKNEG	_	17	adv	_	_
15	das	die	A	ART	Def|Neut|_|Sg	16	det	_	_
16	Wetter	Wetter	N	NN	Neut|_|Sg	17	obja	_	_
17	machen	machen	V	VVINF	_	12	aux	_	_
18	!	!	$	$.	_	0	root	_	_
19	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	Eure	eure	A	PPOSAT	_|Nom|Sg	4	det	34	34
4	Regentrude	Regentrude	N	NN	_|Nom|Sg	5	subj	_	_
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	cj	_	_
6	ein	eine	A	ART	Indef|Neut|Nom|Sg	7	det	_	_
7	Spukeding	Spukeding	N	NN	Neut|Nom|Sg	5	pred	_	_
8	,	,	$	$,	_	0	root	_	_
9	ein	eine	A	ART	Indef|Neut|Nom|Sg	10	det	_	_
10	Hirngespinst	Hirngespinst	N	NN	Neut|Nom|Sg	7	kon	_	_
11	,	,	$	$,	_	0	root	_	_
12	ein	eine	A	ART	Indef|Neut|Nom|Sg	13	det	_	_
13	Garnichts	Garnichts	N	NN	Neut|Nom|Sg	10	kon	_	_
14	!	!	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nun	nun	A	ADV	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Wiesenbauer	Wiesenbauer	N	NN	_	0	root	36	36
5	«	«	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	die	die	A	ART	Def|Fem|Nom|Sg	9	det	5	5
9	Frau	Frau	N	NN	Fem|Nom|Sg	7	subj	5	5
10	schüchtern	schüchtern	V	VVINF	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	Ihr	ihre	A	PPOSAT	_|_|Sg	0	root	5	5
14	seit	seit	P	APPR	Dat	0	root	_	_
15	einmal	einmal	A	ADV	_	16	adv	_	_
16	einer	eine	P	PIS	Fem|Dat|Sg	14	pn	_	_
17	von	von	P	APPR	Dat	16	pp	_	_
18	den	die	A	ART	Def|_|Dat|Pl	19	det	_	_
19	Neugläubigen	Neugläubige	N	NN	_|Dat|Pl	17	pn	_	_
20	!	!	$	$.	_	0	root	_	_
21	«	«	$	$(	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	15	15
3	Mann	Mann	N	NN	Masc|Nom|Sg	4	subj	15	15
4	wurde	werden	V	VAFIN	3|Sg|Past|Ind	1	cj	_	_
5	immer	immer	A	ADV	_	6	adv	_	_
6	eifriger	eifrig	A	ADJD	Comp|	4	pred	_	_
7	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Neu-	Neu-	T	TRUNC	Pos|	0	root	_	_
3	oder	oder	K	KON	_	2	kon	_	_
4	altgläubig	altgläubig	A	ADJD	Pos|	3	cj	_	_
5	!	!	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	15	15
9	,	,	$	$,	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	geht	gehen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
12	hin	hin	P	PTKVZ	_	11	avz	_	_
13	und	und	K	KON	_	11	kon	_	_
14	sucht	suchen	V	VVFIN	_|_|Pres|Ind	13	cj	_	_
15	Eure	eure	A	PPOSAT	Fem|_|Sg	16	det	34	34
16	Regenfrau	Regenfrau	N	NN	Fem|_|Sg	14	obja	47	47
17	und	und	K	KON	_	14	kon	_	_
18	sprecht	sprechen	V	VVFIN	2|Pl|Pres|Ind	17	cj	_	_
19	Euer	eure	A	PPOSAT	Neut|_|Sg	20	det	34	34
20	Sprüchlein	Sprüchlein	N	NN	Neut|_|Sg	18	obja	_	_
21	,	,	$	$,	_	0	root	_	_
22	wenn	wenn	K	KOUS	_	0	root	_	_
23	Ihr	ihre	A	PPOSAT	_|_|Sg	0	root	34	34
24	'	'	$	$(	_	0	root	_	_
25	s	s	P	PPER	_|_|_|Nom	27	subj	15	15
26	noch	noch	A	ADV	_	27	adv	_	_
27	beisammenkriegt	beisammenkriegen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
28	!	!	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	wenn	wenn	K	KOUS	_	10	konj	_	_
3	Ihr	ihr	P	PPER	2|Pl|_|Nom	10	subj	_	_
4	binnen	binnen	P	APPR	_	3	pp	_	_
5	heut	heut	A	ADJD	Pos|	4	pn	_	_
6	und	und	K	KON	_	3	kon	_	_
7	vierundzwanzig	vierundzwanzig	C	CARD	_	8	attr	_	_
8	Stunden	Stunde	N	NN	Fem|Nom|Pl	6	cj	_	_
9	Regen	Regen	N	NN	_|_|_	10	obja	168	168
10	schafft	schaffen	V	VVFIN	_|_|Pres|Ind	1	cj	_	_
11	,	,	$	$,	_	0	root	_	_
12	dann	dann	A	ADV	_	0	root	_	_
13	-	-	$	$(	_	0	root	_	_
14	!	!	$	$.	_	0	root	_	_
